game type,name,misses,hits,pre-set layout,result
simulation,N/A,23,2,1,lost
simulation,N/A,19,3,0,won
simulation,N/A,25,0,2,lost
simulation,N/A,22,3,1,won
simulation,N/A,25,0,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,3,3,2,won
simulation,N/A,10,3,2,won
simulation,N/A,14,3,2,won
simulation,N/A,24,1,1,lost
simulation,N/A,17,3,2,won
simulation,N/A,20,3,1,won
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,13,3,1,won
simulation,N/A,12,3,1,won
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,9,3,2,won
simulation,N/A,21,3,0,won
simulation,N/A,24,1,1,lost
simulation,N/A,14,3,0,won
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,16,3,0,won
simulation,N/A,25,0,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,19,3,2,won
simulation,N/A,25,0,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,9,3,1,won
simulation,N/A,24,1,1,lost
simulation,N/A,7,3,0,won
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,14,3,1,won
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,25,0,1,lost
simulation,N/A,5,3,2,won
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,12,3,0,won
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,13,3,1,won
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,14,3,0,won
simulation,N/A,25,0,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,18,3,0,won
simulation,N/A,23,2,0,lost
simulation,N/A,16,3,0,won
simulation,N/A,23,2,0,lost
simulation,N/A,19,3,2,won
simulation,N/A,15,3,1,won
simulation,N/A,17,3,1,won
simulation,N/A,22,3,2,won
simulation,N/A,15,3,0,won
simulation,N/A,21,3,1,won
simulation,N/A,25,0,2,lost
simulation,N/A,17,3,0,won
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,25,0,0,lost
simulation,N/A,12,3,0,won
simulation,N/A,6,3,1,won
simulation,N/A,18,3,0,won
simulation,N/A,18,3,0,won
simulation,N/A,22,3,0,won
simulation,N/A,24,1,2,lost
simulation,N/A,13,3,2,won
simulation,N/A,24,1,2,lost
simulation,N/A,11,3,2,won
simulation,N/A,23,2,1,lost
simulation,N/A,21,3,0,won
simulation,N/A,25,0,0,lost
simulation,N/A,16,3,0,won
simulation,N/A,15,3,1,won
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,17,3,0,won
simulation,N/A,24,1,0,lost
simulation,N/A,6,3,2,won
simulation,N/A,9,3,2,won
simulation,N/A,20,3,1,won
simulation,N/A,24,1,2,lost
simulation,N/A,20,3,0,won
simulation,N/A,23,2,1,lost
simulation,N/A,18,3,2,won
simulation,N/A,13,3,0,won
simulation,N/A,24,1,1,lost
simulation,N/A,20,3,0,won
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,25,0,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,6,3,1,won
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,25,0,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,22,3,1,won
simulation,N/A,18,3,0,won
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,19,3,0,won
simulation,N/A,14,3,0,won
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,10,3,0,won
simulation,N/A,23,2,1,lost
simulation,N/A,12,3,0,won
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,7,3,2,won
simulation,N/A,25,0,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,15,3,1,won
simulation,N/A,24,1,1,lost
simulation,N/A,11,3,1,won
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,1,lost
simulation,N/A,6,3,0,won
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,10,3,0,won
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,13,3,0,won
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,25,0,2,lost
simulation,N/A,25,0,1,lost
simulation,N/A,25,0,1,lost
simulation,N/A,17,3,0,won
simulation,N/A,23,2,2,lost
simulation,N/A,4,3,1,won
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,21,3,1,won
simulation,N/A,6,3,0,won
simulation,N/A,24,1,1,lost
simulation,N/A,16,3,2,won
simulation,N/A,25,0,2,lost
simulation,N/A,19,3,2,won
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,25,0,1,lost
simulation,N/A,6,3,1,won
simulation,N/A,23,2,0,lost
simulation,N/A,11,3,1,won
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,25,0,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,10,3,1,won
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,18,3,2,won
simulation,N/A,20,3,0,won
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,19,3,1,won
simulation,N/A,25,0,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,19,3,2,won
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,18,3,1,won
simulation,N/A,25,0,1,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,19,3,2,won
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,17,3,1,won
simulation,N/A,22,3,1,won
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,0,lost
simulation,N/A,25,0,0,lost
simulation,N/A,15,3,0,won
simulation,N/A,24,1,2,lost
simulation,N/A,20,3,1,won
simulation,N/A,10,3,1,won
simulation,N/A,23,2,1,lost
simulation,N/A,16,3,1,won
simulation,N/A,25,0,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,1,lost
simulation,N/A,25,0,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,21,3,1,won
simulation,N/A,10,3,1,won
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,19,3,1,won
simulation,N/A,4,3,0,won
simulation,N/A,23,2,2,lost
simulation,N/A,25,0,0,lost
simulation,N/A,21,3,1,won
simulation,N/A,13,3,2,won
simulation,N/A,24,1,1,lost
simulation,N/A,21,3,1,won
simulation,N/A,24,1,2,lost
simulation,N/A,25,0,2,lost
simulation,N/A,25,0,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,25,0,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,21,3,2,won
simulation,N/A,23,2,1,lost
simulation,N/A,14,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,18,3,0,won
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,25,0,1,lost
simulation,N/A,17,3,1,won
simulation,N/A,21,3,1,won
simulation,N/A,23,2,1,lost
simulation,N/A,20,3,1,won
simulation,N/A,23,2,0,lost
simulation,N/A,5,3,0,won
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,12,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,15,3,0,won
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,10,3,2,won
simulation,N/A,20,3,0,won
simulation,N/A,24,1,2,lost
simulation,N/A,25,0,2,lost
simulation,N/A,5,3,2,won
simulation,N/A,14,3,2,won
simulation,N/A,24,1,2,lost
simulation,N/A,19,3,0,won
simulation,N/A,13,3,1,won
simulation,N/A,24,1,1,lost
simulation,N/A,17,3,1,won
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,25,0,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,21,3,1,won
simulation,N/A,23,2,2,lost
simulation,N/A,6,3,0,won
simulation,N/A,23,2,0,lost
simulation,N/A,10,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,18,3,2,won
simulation,N/A,24,1,2,lost
simulation,N/A,14,3,1,won
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,1,lost
simulation,N/A,15,3,0,won
simulation,N/A,23,2,0,lost
simulation,N/A,7,3,1,won
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,14,3,1,won
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,22,3,2,won
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,18,3,0,won
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,0,3,1,won
simulation,N/A,12,3,1,won
simulation,N/A,25,0,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,25,0,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,7,3,0,won
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,25,0,2,lost
simulation,N/A,14,3,2,won
simulation,N/A,22,3,0,won
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,25,0,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,22,3,0,won
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,25,0,0,lost
simulation,N/A,14,3,1,won
simulation,N/A,23,2,1,lost
simulation,N/A,5,3,2,won
simulation,N/A,19,3,1,won
simulation,N/A,19,3,1,won
simulation,N/A,25,0,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,13,3,1,won
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,13,3,1,won
simulation,N/A,24,1,1,lost
simulation,N/A,22,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,14,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,19,3,2,won
simulation,N/A,24,1,1,lost
simulation,N/A,7,3,2,won
simulation,N/A,25,0,1,lost
simulation,N/A,19,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,0,3,2,won
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,20,3,1,won
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,18,3,1,won
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,12,3,1,won
simulation,N/A,18,3,2,won
simulation,N/A,24,1,2,lost
simulation,N/A,25,0,1,lost
simulation,N/A,25,0,1,lost
simulation,N/A,21,3,1,won
simulation,N/A,12,3,2,won
simulation,N/A,18,3,2,won
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,25,0,0,lost
simulation,N/A,25,0,0,lost
simulation,N/A,25,0,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,13,3,1,won
simulation,N/A,8,3,2,won
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,16,3,1,won
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,25,0,0,lost
simulation,N/A,16,3,0,won
simulation,N/A,17,3,1,won
simulation,N/A,25,0,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,13,3,1,won
simulation,N/A,7,3,0,won
simulation,N/A,23,2,2,lost
simulation,N/A,14,3,2,won
simulation,N/A,23,2,0,lost
simulation,N/A,20,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,0,lost
simulation,N/A,9,3,0,won
simulation,N/A,23,2,0,lost
simulation,N/A,25,0,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,22,3,1,won
simulation,N/A,25,0,1,lost
simulation,N/A,24,1,1,lost
simulation,N/A,7,3,0,won
simulation,N/A,13,3,1,won
simulation,N/A,5,3,0,won
simulation,N/A,24,1,0,lost
simulation,N/A,12,3,0,won
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,7,3,0,won
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,2,lost
simulation,N/A,10,3,2,won
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,17,3,2,won
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,16,3,2,won
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,19,3,1,won
simulation,N/A,24,1,1,lost
simulation,N/A,5,3,0,won
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,25,0,1,lost
simulation,N/A,22,3,1,won
simulation,N/A,23,2,1,lost
simulation,N/A,13,3,2,won
simulation,N/A,20,3,1,won
simulation,N/A,19,3,2,won
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,21,3,1,won
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,10,3,2,won
simulation,N/A,24,1,2,lost
simulation,N/A,15,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,18,3,2,won
simulation,N/A,18,3,2,won
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,25,0,1,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,21,3,2,won
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,12,3,2,won
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,25,0,2,lost
simulation,N/A,8,3,1,won
simulation,N/A,14,3,1,won
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,8,3,0,won
simulation,N/A,25,0,2,lost
simulation,N/A,11,3,0,won
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,5,3,2,won
simulation,N/A,25,0,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,12,3,0,won
simulation,N/A,8,3,2,won
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,18,3,0,won
simulation,N/A,10,3,2,won
simulation,N/A,25,0,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,21,3,0,won
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,16,3,2,won
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,18,3,0,won
simulation,N/A,11,3,0,won
simulation,N/A,14,3,0,won
simulation,N/A,11,3,2,won
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,1,lost
simulation,N/A,25,0,0,lost
simulation,N/A,18,3,2,won
simulation,N/A,25,0,0,lost
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,10,3,0,won
simulation,N/A,22,3,1,won
simulation,N/A,24,1,2,lost
simulation,N/A,8,3,2,won
simulation,N/A,24,1,2,lost
simulation,N/A,19,3,1,won
simulation,N/A,23,2,2,lost
simulation,N/A,16,3,0,won
simulation,N/A,11,3,2,won
simulation,N/A,17,3,0,won
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,17,3,1,won
simulation,N/A,22,3,0,won
simulation,N/A,7,3,1,won
simulation,N/A,25,0,2,lost
simulation,N/A,15,3,2,won
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,1,lost
simulation,N/A,16,3,1,won
simulation,N/A,17,3,2,won
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,13,3,0,won
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,0,lost
simulation,N/A,13,3,1,won
simulation,N/A,14,3,0,won
simulation,N/A,24,1,0,lost
simulation,N/A,14,3,1,won
simulation,N/A,3,3,0,won
simulation,N/A,25,0,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,8,3,0,won
simulation,N/A,16,3,2,won
simulation,N/A,24,1,1,lost
simulation,N/A,25,0,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,21,3,1,won
simulation,N/A,18,3,0,won
simulation,N/A,25,0,2,lost
simulation,N/A,10,3,1,won
simulation,N/A,23,2,1,lost
simulation,N/A,5,3,1,won
simulation,N/A,24,1,2,lost
simulation,N/A,19,3,2,won
simulation,N/A,18,3,1,won
simulation,N/A,18,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,4,3,1,won
simulation,N/A,24,1,2,lost
simulation,N/A,12,3,2,won
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,2,lost
simulation,N/A,20,3,1,won
simulation,N/A,5,3,2,won
simulation,N/A,17,3,1,won
simulation,N/A,7,3,2,won
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,21,3,0,won
simulation,N/A,21,3,1,won
simulation,N/A,13,3,1,won
simulation,N/A,14,3,1,won
simulation,N/A,15,3,0,won
simulation,N/A,25,0,2,lost
simulation,N/A,25,0,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,25,0,1,lost
simulation,N/A,25,0,0,lost
simulation,N/A,20,3,2,won
simulation,N/A,24,1,1,lost
simulation,N/A,21,3,2,won
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,25,0,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,12,3,0,won
simulation,N/A,25,0,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,22,3,1,won
simulation,N/A,14,3,1,won
simulation,N/A,24,1,0,lost
simulation,N/A,21,3,1,won
simulation,N/A,19,3,0,won
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,21,3,0,won
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,16,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,25,0,1,lost
simulation,N/A,16,3,2,won
simulation,N/A,11,3,2,won
simulation,N/A,25,0,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,25,0,1,lost
simulation,N/A,11,3,2,won
simulation,N/A,23,2,1,lost
simulation,N/A,25,0,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,2,lost
simulation,N/A,10,3,2,won
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,2,lost
simulation,N/A,22,3,0,won
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,10,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,22,3,0,won
simulation,N/A,22,3,0,won
simulation,N/A,22,3,1,won
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,15,3,2,won
simulation,N/A,24,1,1,lost
simulation,N/A,13,3,0,won
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,20,3,1,won
simulation,N/A,23,2,0,lost
simulation,N/A,9,3,2,won
simulation,N/A,24,1,1,lost
simulation,N/A,25,0,0,lost
simulation,N/A,25,0,1,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,14,3,0,won
simulation,N/A,25,0,2,lost
simulation,N/A,10,3,1,won
simulation,N/A,24,1,2,lost
simulation,N/A,9,3,2,won
simulation,N/A,25,0,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,1,lost
simulation,N/A,21,3,1,won
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,24,1,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,25,0,2,lost
simulation,N/A,25,0,0,lost
simulation,N/A,10,3,0,won
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,17,3,0,won
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,13,3,2,won
simulation,N/A,25,0,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,11,3,1,won
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,25,0,1,lost
simulation,N/A,25,0,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,8,3,2,won
simulation,N/A,12,3,2,won
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,18,3,2,won
simulation,N/A,25,0,0,lost
simulation,N/A,20,3,0,won
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,25,0,0,lost
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,0,lost
simulation,N/A,18,3,1,won
simulation,N/A,23,2,2,lost
simulation,N/A,21,3,2,won
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,2,lost
simulation,N/A,18,3,2,won
simulation,N/A,7,3,0,won
simulation,N/A,24,1,1,lost
simulation,N/A,24,1,0,lost
simulation,N/A,23,2,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,2,lost
simulation,N/A,23,2,2,lost
simulation,N/A,1,3,1,won
simulation,N/A,23,2,2,lost
simulation,N/A,22,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,23,2,1,lost
simulation,N/A,21,3,1,won
simulation,N/A,23,2,0,lost
simulation,N/A,18,3,2,won
simulation,N/A,14,3,1,won
simulation,N/A,20,3,2,won
simulation,N/A,7,3,2,won
simulation,N/A,19,3,2,won
simulation,N/A,25,0,0,lost
simulation,N/A,25,0,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,18,3,2,won
simulation,N/A,2,3,2,won
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,24,1,1,lost
simulation,N/A,11,3,0,won
simulation,N/A,25,0,2,lost
simulation,N/A,23,2,0,lost
simulation,N/A,25,0,2,lost
simulation,N/A,22,3,2,won
simulation,N/A,24,1,0,lost
simulation,N/A,18,3,1,won
simulation,N/A,20,3,2,won
simulation,N/A,23,2,2,lost
simulation,N/A,25,0,1,lost
simulation,N/A,23,2,0,lost
simulation,N/A,23,2,2,lost
simulation,N/A,17,3,0,won
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,2,lost
simulation,N/A,11,3,2,won
simulation,N/A,2,3,2,won
simulation,N/A,24,1,2,lost
simulation,N/A,8,3,2,won
simulation,N/A,24,1,0,lost
simulation,N/A,25,0,0,lost
simulation,N/A,23,2,1,lost
simulation,N/A,23,2,1,lost
simulation,N/A,25,0,2,lost
simulation,N/A,19,3,0,won
simulation,N/A,21,3,2,won
simulation,N/A,13,3,2,won
simulation,N/A,24,1,0,lost
simulation,N/A,24,1,1,lost
